Topic,Count,Name,Representation,Representative_Docs
0,13848,0_trump_thanks_great_run,"['trump', 'thanks', 'great', 'run', 'president', 'donald', 'interview', 'thank', 'need', 'golf']","['thanks', 'thanks', 'trump']"
1,7778,1_biden_election_fake_news,"['biden', 'election', 'fake', 'news', 'trump', 'joe', 'case', 'poll', 'go', 'get']","['joe biden', 'fake news', 'fake news']"
2,6681,2_rt_rt rt_trump_rt thank,"['rt', 'rt rt', 'trump', 'rt thank', 'id', 'html', 'thank', 'status', 'donald trump', 'donald']","['rt', 'rt', 'rt']"
3,5786,3_great_border_thank_america,"['great', 'border', 'thank', 'america', 'country', 'make', 'join', 'people', 'wall', 'make america']","['make america great', 'make america great', 'make america great']"
4,4745,4_image_image image_video_video image,"['image', 'image image', 'video', 'video image', 'video video', 'image video', 'quicktime video', 'quicktime', 'video quicktime', 'image quicktime']","['image', 'image', 'image']"
5,2732,5_thank_great_thank thank_true,"['thank', 'great', 'thank thank', 'true', 'honor', 'great honor', 'thanks', 'honor thank', 'thank great', 'great job']","['thank', 'thank', 'thank']"
6,2165,6_china_tariff_iran_trade,"['china', 'tariff', 'iran', 'trade', 'deal', 'country', 'korea', 'state', 'united', 'make']","['china buy much less u buy almost billion dollar fantastic position make product home usa tariff also buy country instead china many company leave china', 'trade negotiator return china meeting trade productive meeting give detail meantime billion dollar pay united state china form trade tariff', 'nobody get hook unfair trade balance non monetary tariff barrier country use u especially china far treat u bad tariff exception announce friday product subject exist fentanyl tariff move different tariff bucket fake news know refuse report take look semiconductor whole electronics supply chain upcoming national security tariff investigation expose need make product united state hold hostage country especially hostile trading nation like china everything within power disrespect american people also cannot let continue abuse u trade like decade day golden age america include upcoming tax regulation cut substantial amount approve house senate mean well pay job make product nation treat country particular china way treat u bottom line country big well strong ever make america great']"
7,2015,7_obamacare_tax_job_economy,"['obamacare', 'tax', 'job', 'economy', 'cut', 'market', 'stock', 'year', 'stock market', 'number']","['sign business look really good next year help tax cut bill great year company job stock market poise another year success', 'stock market big point great news america job job job', 'thing go really well economy subject fake news spend little time possible discuss stock market hit another record high unemployment year low company come back usa really good news much come']"
8,1749,8_think_entrepreneur_success_think big,"['think', 'entrepreneur', 'success', 'think big', 'think like', 'big', 'focus', 'work', 'keep', 'like']","['say great thing think think like champion', 'think big go think anyway might well think big', 'like think big simple go think anyway might well think big art deal']"
9,1368,9_endorsement_total endorsement_complete total_complete,"['endorsement', 'total endorsement', 'complete total', 'complete', 'total', 'secure', 'second amendment', 'amendment', 'second', 'military']","['congressman russell fry america first patriot incredible job represent south carolina congressional district na maga warrior u begin russell work hard grow economy cut tax regulation advance american energy dominance promote make keep secure border secure support great military veteran protect always siege second amendment nrussell fry complete total endorsement never let', 'congressman mike rogers truly fantastic job represent great people alabama congressional district na first chairman house arm service committee alabama mike work tirelessly advance america first agenda know wisdom courage require defend country support incredible military veteran ensure peace strength congress mike work tirelessly grow economy cut tax regulation promote make champion american energy dominance keep secure border secure stop migrant crime defend always siege second amendment nmike rogers complete total endorsement never let', 'congressman mike haridopolos america first patriot fantastic job represent florida congressional district na former teacher successful businessman congressman mike strongly serve community career load accolade win congress fight tirelessly grow economy cut tax regulation promote make champion american energy dominance keep secure border secure stop migrant crime strengthen military veteran defend always siege second amendment nmike haridopolos complete total endorsement never let']"
10,646,10_nfl_game_player_great,"['nfl', 'game', 'player', 'great', 'baseball', 'football', 'team', 'derek', 'anthem', 'win']","['time hit leader pete rise baseball hall fame pay penalty', 'pete rise played major league baseball season hit player wide margin gamble team winning pay decade long price get pete rise baseball hall fame time', 'great pete rise die one magnificent baseball player ever play game pay price major league baseball allow hall fame many year ago funeral djt']"
11,436,11_book_new book_copy_new,"['book', 'new book', 'copy', 'new', 'get copy', 'great', 'get', 'today', 'copy today', 'write']","['get copy new book save america today', 'get new book letter trump get copy today', 'great new book today get copy today']"
12,292,12_wind_turbine_wind turbine_scotland,"['wind', 'turbine', 'wind turbine', 'scotland', 'bird', 'windmill', 'kill', 'ugly', 'wind farm', 'farm']","['agree wind turbine horrible', 'like ugly bird kill wind turbine', 'wind turbine disaster']"
13,259,13_donald mitt_dine donald_dine_donald,"['donald mitt', 'dine donald', 'dine', 'donald', 'mitt', 'donaldtrump', 'check', 'agenda', 'donaldtrump town', 'donald excite']","['excite host donaldtrump town hall meeting monday pm fitn nhpolitics', 'dine donald mitt', 'dine donald mitt']"
